movie_id,title,genre,release_date,rating,studio,runtime_minutes,budget,domestic_gross,international_gross,total_gross,imdb_rating,tickets_sold,tickets_available
41,Harry Potter and the Goblet of Fire,Adventure,2005-11-18,PG-13,Warner Bros,157,150000000,290013036,606898042,896911078,7.6,30527688,0
42,The Matrix Reloaded,Action,2003-05-15,R,Warner Bros,138,150000000,281553689,457023240,738576929,7.2,29637230,0
43,I am Legend,Horror,2007-12-14,PG-13,Warner Bros,104,150000000,256393010,329139674,585532684,7.2,26988738,0
44,Hancock,Action,2008-07-01,PG-13,Sony Pictures,102,150000000,227946274,396287998,624234272,6.4,23994345,0
45,Charlie and the Chocolate Factory,Adventure,2005-07-15,PG,Warner Bros,115,150000000,206459076,269366408,475825484,6.7,21732534,0
46,Ratatouille,Adventure,2007-06-29,G,Walt Disney,111,150000000,206445654,420104041,626549695,8.0,21731121,0
47,Thor: The Dark World,Action,2013-11-08,PG-13,Walt Disney,112,150000000,206362140,438240376,644602516,7.1,21722331,0
48,Batman Begins,Action,2005-06-15,PG-13,Warner Bros,128,150000000,205343774,153798948,359142722,8.3,21615134,0
49,Mission: Impossible—Rogue Nation,Action,2015-07-31,PG-13,Paramount,131,150000000,195042377,494345986,689388363,7.4,20530777,0
50,Dunkirk,Action,2017-07-21,PG-13,Warner Bros,109,150000000,190068280,309832580,499900860,7.8,20007187,0
51,Thor,Action,2011-05-06,PG-13,Paramount,115,150000000,181030624,268295994,449326618,7.0,19055855,0
52,Madagascar: Escape 2 Africa,Adventure,2008-11-07,PG,Paramount,89,150000000,180174880,419505894,599680774,6.7,18965777,0
53,X-Men Origins: Wolverine,Action,2009-05-01,PG-13,20th Century Fox,119,150000000,179883157,194942603,374825760,6.7,18935069,0
54,Kung Fu Panda 2,Adventure,2011-05-26,PG,Paramount,90,150000000,165249063,499588484,664837547,7.3,17394638,0
55,Mad Max: Fury Road,Action,2015-05-15,R,Warner Bros,120,150000000,153636354,217015379,370651733,8.1,16172248,0
56,The Meg,Action,2018-08-10,PG-13,Warner Bros,109,150000000,142700791,384400000,527100791,,15021136,0
57,The Matrix Revolutions,Action,2003-11-05,R,Warner Bros,129,150000000,139270910,288029350,427300260,6.7,14660096,0
58,Ready Player One,Adventure,2018-03-29,PG-13,Warner Bros,97,150000000,137018455,441603274,578621729,7.4,14422995,0
59,Mission: Impossible III,Action,2006-05-05,PG-13,Paramount,124,150000000,133501348,264000000,397501348,6.9,14052773,0
60,Troy,Action,2004-05-14,R,Warner Bros,196,150000000,133298577,350862688,484161265,7.2,14031429,0
61,The Last Airbender,Adventure,2010-07-01,PG,Paramount,103,150000000,131772187,187941694,319713881,4.2,13870757,0
62,Bee Movie,Adventure,2007-11-02,PG,Paramount,91,150000000,126631277,160963300,287594577,6.2,13329608,0
63,G-Force,Adventure,2009-07-24,PG,Walt Disney,88,150000000,119436770,173381071,292817841,5.1,12572292,0
64,Bolt,Adventure,2008-11-21,PG,Walt Disney,96,150000000,114053579,213961450,328015029,6.9,12005640,0
65,Wrath of the Titans,Adventure,2012-03-30,PG-13,Warner Bros,99,150000000,83670083,221600000,305270083,5.8,8807377,0
66,Beowulf,Adventure,2007-11-16,PG-13,Paramount,115,150000000,82280579,112800000,195080579,6.3,8661114,0
67,The Wolfman,Horror,2010-02-12,R,Universal Pictures,119,150000000,62189884,80444474,142634358,5.8,6546304,0
68,The Great Wall,Action,2017-02-17,PG-13,Universal Pictures,109,150000000,45157105,289393001,334550106,,4753379,0
69,Pan,Adventure,2015-10-09,PG,Warner Bros,111,150000000,35088320,116455315,151543635,5.8,3693507,0
70,Mars Needs Moms,Adventure,2011-03-11,PG,Walt Disney,88,150000000,21392758,18157000,39549758,5.4,2251869,0
71,Flushed Away,Adventure,2006-11-03,PG,Paramount,85,149000000,64665672,114691454,179357126,6.7,6806913,0
72,Madagascar 3: Europe's Most Wanted,Adventure,2012-06-08,PG,Paramount,93,145000000,216391482,530529789,746921271,6.9,22778051,0
73,How to Train Your Dragon 2,Adventure,2014-06-13,PG,20th Century Fox,102,145000000,177002924,437583346,614586270,7.9,18631887,0
74,Tarzan,Adventure,1999-06-16,G,Walt Disney,97,145000000,171091819,277100000,448191819,7.3,18009665,0
75,Mr. Peabody & Sherman,Adventure,2014-03-07,PG,20th Century Fox,92,145000000,111506430,158300000,269806430,6.9,11737519,0
76,Rise of the Guardians,Adventure,2012-11-21,PG,Paramount,97,145000000,103412758,203488144,306900902,7.3,10885553,0
77,Die Another Day,Action,2002-11-22,PG-13,MGM,133,142000000,160942139,271000000,431942139,6.1,16941278,0
78,Star Trek,Adventure,2009-05-08,PG-13,Paramount,127,140000000,257730019,127950427,385680446,8.0,27129476,0
79,Armageddon,Adventure,1998-07-01,PG-13,Walt Disney,153,140000000,201578182,353021818,554600000,6.6,21218756,0
80,Men in Black 2,Action,2002-07-03,PG-13,Sony Pictures,88,140000000,190418803,251349000,441767803,6.1,20044085,0
81,Captain America: The First Avenger,Action,2011-07-22,PG-13,Paramount,124,140000000,176654505,193915271,370569776,6.9,18595211,0
82,Kung Fu Panda 3,Adventure,2016-01-29,PG,20th Century Fox,95,140000000,143528619,374890132,518418751,7.2,15108276,0
83,Lethal Weapon 4,Action,1998-07-10,R,Warner Bros,127,140000000,130444603,154955397,285400000,6.6,13731011,0
84,G.I. Joe: Retaliation,Action,2013-03-27,PG-13,Paramount,122,140000000,122523060,253217645,375740705,5.8,12897164,0
85,The Last Samurai,Action,2003-12-05,R,Warner Bros,154,140000000,111110575,345700000,456810575,7.7,11695850,0
86,Fun With Dick And Jane,Comedy,2005-12-21,PG-13,Sony Pictures,90,140000000,110550000,92468919,203018919,6.1,11636842,0
87,Exodus: Gods and Kings,Drama,2014-12-12,PG-13,20th Century Fox,150,140000000,65014513,203300000,268314513,6.1,6843633,0
88,The BFG,Adventure,2016-07-01,PG,Walt Disney,117,140000000,55483770,144192485,199676255,6.8,5840397,0
89,Gods of Egypt,Adventure,2016-02-26,PG-13,Lionsgate,126,140000000,31153464,107434099,138587563,5.5,3279312,0
90,Spider-Man,Adventure,2002-05-03,PG-13,Sony Pictures,121,139000000,403706375,418000000,821706375,7.3,42495408,0
91,Watchmen,Action,2009-03-06,R,Warner Bros,215,138000000,107509799,79466451,186976250,7.7,11316821,0
92,Stealth,Action,2005-07-29,PG-13,Sony Pictures,121,138000000,32116746,44300000,76416746,5.0,3380710,0
93,The Incredible Hulk,Adventure,2008-06-13,PG-13,Universal Pictures,135,137500000,134806913,130766946,265573859,6.8,14190201,0
94,Hulk,Action,2003-06-20,PG-13,Universal Pictures,138,137000000,132177234,112898200,245075434,5.7,13913393,0
95,Final Fantasy: The Spirits Within,Adventure,2001-07-11,PG-13,Sony Pictures,106,137000000,32131830,53000000,85131830,6.4,3382298,0
96,The Croods,Adventure,2013-03-22,PG,20th Century Fox,98,135000000,187168425,385900000,573068425,7.3,19701939,0
97,The Revenant,Adventure,2015-12-25,R,20th Century Fox,156,135000000,183637894,349312609,532950503,8.1,19330305,0
98,The World is Not Enough,Action,1999-11-19,PG-13,MGM,128,135000000,126930660,234800000,361730660,6.4,13361122,0
99,Rango,Adventure,2011-03-04,PG,Paramount,107,135000000,123477607,122246993,245724600,7.2,12997643,0
100,Turbo,Adventure,2013-07-17,PG,20th Century Fox,96,135000000,83028130,203868448,286896578,6.5,8739803,0
101,Happy Feet Two,Adventure,2011-11-18,PG,Warner Bros,97,135000000,64006466,93950000,157956466,,6737523,0
102,Miami Vice,Action,2006-07-28,R,Universal Pictures,70,135000000,63478838,100339718,163818556,7.5,6681983,0
103,War of the Worlds,Action,2005-06-29,PG-13,Paramount,116,132000000,234280354,372556181,606836535,6.5,24661090,0
104,Penguins of Madagascar,Adventure,2014-11-26,PG,20th Century Fox,92,132000000,83350911,284300000,367650911,6.7,8773780,0
105,The Hunger Games: Catching Fire,Adventure,2013-11-22,PG-13,Lionsgate,146,130000000,424668047,440200000,864868047,7.6,44701900,0
106,Ant-Man and the Wasp,Action,2018-07-06,PG-13,Walt Disney,109,130000000,216565229,400611590,617176819,7.0,22796340,0
107,Kung Fu Panda,Adventure,2008-06-06,PG,Paramount,92,130000000,215434591,416475940,631910531,7.6,22677325,0
108,Ant-Man,Action,2015-07-17,PG-13,Walt Disney,117,130000000,180202163,338657923,518860086,7.4,18968649,0
109,Home,Adventure,2015-03-27,PG,20th Century Fox,94,130000000,177397510,208634484,386031994,6.7,18673422,0
110,Puss in Boots,Adventure,2011-10-28,PG,Paramount,90,130000000,149260504,405726973,554987477,6.7,15711632,0
111,Megamind,Adventure,2010-11-05,PG,Paramount,95,130000000,148415853,173471355,321887208,7.3,15622721,0
112,Bad Boys II,Action,2003-07-18,R,Sony Pictures,147,130000000,138540870,134731112,273271982,6.6,14583249,0
113,Rio 2,Adventure,2014-04-11,G,20th Century Fox,101,130000000,131538435,361307856,492846291,6.4,13846151,0
114,Noah,Drama,2014-03-28,PG-13,Paramount,138,130000000,101200044,251631021,352831065,5.8,10652636,0
115,The Adventures of Tintin,Adventure,2011-12-21,PG,Paramount,107,130000000,77591831,296402120,373993951,7.4,8167561,0
116,After Earth,Action,2013-05-31,PG-13,Sony Pictures,100,130000000,60522097,190977568,251499665,4.9,6370747,0
117,Australia,Drama,2008-11-26,PG-13,20th Century Fox,165,130000000,49554002,165526808,215080810,6.6,5216211,0
118,R.I.P.D.,Action,2013-07-19,PG-13,Universal Pictures,96,130000000,33618855,45457823,79076678,5.6,3538827,0
119,Dinosaur,Adventure,2000-05-19,PG,Walt Disney,82,127500000,137748063,218400000,356148063,6.5,14499796,0
120,Logan,Action,2017-03-03,R,20th Century Fox,109,127000000,226277068,389199897,615476965,8.1,23818639,0
121,X-Men 2,Action,2003-05-02,PG-13,20th Century Fox,134,125000000,214949694,191925842,406875536,7.5,22626284,0
122,Fast Five,Action,2011-04-29,PG-13,Universal Pictures,132,125000000,210031325,420132129,630163454,7.3,22108561,0
123,Sherlock Holmes: A Game of Shadows,Action,2011-12-16,PG-13,Warner Bros,129,125000000,186848418,348815025,535663443,7.5,19668255,0
124,The Day After Tomorrow,Adventure,2004-05-28,PG-13,20th Century Fox,124,125000000,186740799,369578651,556319450,6.4,19656926,0
125,The Boss Baby,Adventure,2017-03-31,PG,20th Century Fox,97,125000000,175003033,335885324,510888357,,18421372,0
126,Clash of the Titans,Action,2010-04-01,PG-13,Warner Bros,106,125000000,163214888,330000000,493214888,5.8,17180515,0
127,Trolls,Adventure,2016-11-04,PG,20th Century Fox,97,125000000,153707064,190820361,344527425,,16179691,0
128,Godzilla,Action,1998-05-19,PG-13,Sony Pictures,109,125000000,136314294,239685706,376000000,5.4,14348873,0
129,Prometheus,Adventure,2012-06-08,R,20th Century Fox,124,125000000,126477084,275971181,402448265,7.0,13313377,0
130,Batman & Robin,Action,1997-06-20,PG-13,Warner Bros,125,125000000,107325195,130992619,238317814,3.7,11297389,0
131,Skyscraper,Action,2018-07-13,PG,Universal Pictures,109,125000000,67796355,236238260,304034615,,7136458,0
132,Assassin’s Creed,Action,2016-12-21,PG-13,20th Century Fox,109,125000000,54647948,185850000,240497948,,5752416,0
133,Monster Trucks,Adventure,2017-01-13,PG-13,Paramount,97,125000000,33370166,28272632,61642798,,3512649,0
134,The 13th Warrior,Action,1999-08-27,R,Walt Disney,102,125000000,32698899,29000000,61698899,6.6,3441989,0
135,How the Grinch Stole Christmas,Adventure,2000-11-17,PG,Universal Pictures,110,123000000,260044825,85096578,345141403,6.0,27373139,0
136,Mission: Impossible 2,Action,2000-05-24,PG-13,Paramount,123,120000000,215409889,334178627,549588516,6.1,22674725,0
137,The Perfect Storm,Drama,2000-06-30,PG-13,Warner Bros,130,120000000,182618434,146093000,328711434,6.4,19222993,0
138,Jason Bourne,Action,2016-07-29,PG-13,Universal Pictures,123,120000000,162192920,254004139,416197059,7.1,17072939,0
139,Life of Pi,Drama,2012-11-21,PG,20th Century Fox,127,120000000,124987022,482271612,607258634,8.0,13156529,0
140,Ghost Rider,Action,2007-02-16,PG-13,Sony Pictures,123,120000000,115802596,113742993,229545589,5.2,12189747,0
141,Charlie's Angels: Full Throttle,Action,2003-06-27,PG-13,Sony Pictures,107,120000000,100814328,126385672,227200000,4.8,10612035,0
142,Rampage,Action,2018-04-13,PG-13,Warner Bros,80,120000000,99345950,325400000,424745950,6.3,10457468,0
143,Elysium,Action,2013-08-09,R,Sony Pictures,109,120000000,93050117,193141974,286192091,6.6,9794749,0
144,Power Rangers,Action,2017-03-24,PG-13,Lionsgate,109,120000000,85364450,57180907,142545357,,8985732,0
145,Stuart Little 2,Adventure,2002-07-19,PG,Sony Pictures,77,120000000,64956806,101043194,166000000,5.4,6837559,0
146,The Chronicles of Riddick,Adventure,2004-06-11,PG-13,Universal Pictures,134,120000000,57712751,49500000,107212751,6.7,6075026,0
147,Speed Racer,Action,2008-05-09,PG,Warner Bros,135,120000000,43945766,49448696,93394462,6.1,4625870,0
148,The Island,Action,2005-07-22,PG-13,DreamWorks,136,120000000,35818913,127200000,163018913,6.9,3770412,0
149,Knight and Day,Action,2010-06-23,PG-13,20th Century Fox,117,117000000,76423035,182328335,258751370,6.3,8044530,0
150,Star Wars Ep. I: The Phantom Menace,Adventure,1999-05-19,PG,20th Century Fox,97,115000000,474544677,552500000,1027044677,6.5,49952071,0
151,"Monsters, Inc.",Adventure,2001-11-02,G,Walt Disney,92,115000000,289423425,270334294,559757719,8.1,30465624,0
152,The Wolverine,Action,2013-07-26,PG-13,20th Century Fox,138,115000000,132556852,283900000,416456852,6.7,13953353,0
153,Dante's Peak,Drama,1997-02-07,PG-13,Universal Pictures,108,115000000,67163857,111036143,178200000,5.8,7069880,0
154,The Huntsman: Winter’s War,Action,2016-04-22,PG-13,Universal Pictures,120,115000000,48003015,117146287,165149302,6.1,5052949,0
155,Windtalkers,Action,2002-06-14,R,MGM,153,115000000,40914068,36714197,77628265,6.0,4306744,0
156,Gulliver's Travels,Adventure,2010-12-25,PG,20th Century Fox,85,112000000,42779261,189238587,232017848,4.9,4503080,0
157,Ferdinand,Adventure,2017-12-15,PG,20th Century Fox,97,111000000,84410380,205456707,289867087,,8885303,0
158,Deadpool 2,Action,2018-05-18,R,20th Century Fox,109,110000000,318491426,415318175,733809601,7.6,33525413,0
159,Night at the Museum,Adventure,2006-12-22,PG,20th Century Fox,108,110000000,250863268,328583139,579446407,6.4,26406660,0
160,Mr. and Mrs. Smith,Action,2005-06-10,PG-13,20th Century Fox,126,110000000,186336279,299787811,486124090,6.5,19614345,0
161,San Andreas,Adventure,2015-05-29,PG-13,Warner Bros,114,110000000,155190832,302008448,457199280,6.1,16335877,0
162,The Smurfs,Adventure,2011-07-29,PG,Sony Pictures,103,110000000,142614158,421135165,563749323,5.5,15012017,0
163,Live Free or Die Hard,Action,2007-06-27,PG-13,20th Century Fox,129,110000000,134529403,247758744,382288147,7.2,14160990,0
164,The Divergent Series: Insurgent,Action,2015-03-20,PG-13,Lionsgate,109,110000000,130179072,164896810,295075882,,13703060,0
165,Ocean's Twelve,Adventure,2004-12-10,PG-13,Warner Bros,125,110000000,125531634,237457442,362989076,6.4,13213856,0
166,Tomorrow Never Dies,Action,1997-12-19,PG-13,MGM,119,110000000,125304276,214200000,339504276,6.5,13189924,0
167,The Patriot,Drama,2000-06-28,R,Sony Pictures,142,110000000,113330342,101969658,215300000,7.1,11929510,0
168,300: Rise of an Empire,Action,2014-03-07,R,Warner Bros,102,110000000,106580051,224200000,330780051,6.2,11218953,0
169,The Green Hornet,Action,2011-01-14,PG-13,Sony Pictures,119,110000000,98780042,130375461,229155503,5.8,10397899,0
170,Real Steel,Action,2011-10-07,PG-13,Walt Disney,127,110000000,85463309,178417032,263880341,7.1,8996138,0
171,The A-Team,Action,2010-06-11,PG-13,20th Century Fox,70,110000000,77222099,100019072,177241171,7.6,8128642,0
172,The Smurfs 2,Adventure,2013-07-31,PG,Sony Pictures,105,110000000,71017784,277529739,348547523,5.4,7475556,0
173,The Divergent Series: Allegiant,Action,2016-03-18,PG-13,Lionsgate,109,110000000,66184051,105687610,171871661,,6966742,0
174,The Taking of Pelham 123,Action,2009-06-12,R,Sony Pictures,109,110000000,65452312,86912058,152364370,,6889717,0
175,Ender's Game,Adventure,2013-11-01,PG-13,Lionsgate,114,110000000,61737191,66246092,127983283,6.7,6498652,0
176,Home on the Range,Adventure,2004-04-02,PG,Walt Disney,76,110000000,50026353,26456108,76482461,5.4,5265932,0
177,Speed 2: Cruise Control,Action,1997-06-13,PG-13,20th Century Fox,121,110000000,48097081,102370919,150468000,3.7,5062851,0
178,Kingdom of Heaven,Adventure,2005-05-06,R,20th Century Fox,194,110000000,47398413,171454940,218853353,7.2,4989307,0
179,Ghost in the Shell,Action,2017-03-31,PG-13,Paramount,109,110000000,40563557,127355290,167918847,,4269848,0
180,The Cat in the Hat,Adventure,2003-11-21,PG,Universal Pictures,82,109000000,101018283,32800000,133818283,3.8,10633503,0
181,Ali,Drama,2001-12-25,R,Sony Pictures,165,109000000,58183966,29500000,87683966,6.8,6124628,0
182,Allied,Drama,2016-11-23,R,Paramount,114,106000000,40098064,79187592,119285656,,4220849,0
183,"I, Robot",Action,2004-07-16,PG-13,20th Century Fox,115,105000000,144801023,203828562,348629585,7.1,15242213,0
184,Stuart Little,Adventure,1999-12-17,PG,Sony Pictures,84,105000000,140015224,158800000,298815224,5.9,14738445,0
185,The Princess and the Frog,Adventure,2009-11-25,G,Walt Disney,97,105000000,104400899,166596479,270997378,7.1,10989568,0
186,"10,000 B.C.",Adventure,2008-03-07,PG-13,Warner Bros,70,105000000,94784201,174281477,269065678,7.2,9977284,0
187,Ice Age: Collision Course,Adventure,2016-07-22,PG,20th Century Fox,97,105000000,64063008,339029404,403092412,5.6,6743475,0
188,Kingsman: The Golden Circle,Action,2017-09-22,R,20th Century Fox,109,104000000,100234838,308587490,408822328,6.7,10551036,0
189,Gone in 60 Seconds,Action,2000-06-09,PG-13,Walt Disney,109,103300000,101643008,131000000,232643008,,10699264,0
190,The Hangover 3,Comedy,2013-05-23,R,Warner Bros,98,103000000,112200072,249800000,362000072,,11810534,0
191,A Wrinkle in Time,Adventure,2018-03-09,PG,Walt Disney,97,103000000,100478608,32923274,133401882,,10576696,0
192,Public Enemies,Drama,2009-07-01,R,Universal Pictures,140,102500000,97104620,115178089,212282709,7.0,10221539,0
193,Casino Royale,Action,2006-11-17,PG-13,Sony Pictures,144,102000000,167365000,427055283,594420283,8.0,17617368,0
194,Minority Report,Action,2002-06-21,PG-13,20th Century Fox,145,102000000,132024714,226800000,358824714,7.7,13897338,0
195,Cloud Atlas,Drama,2012-10-26,R,Warner Bros,172,102000000,27108272,103564882,130673154,7.5,2853502,0
196,Terminator 2: Judgment Day,Action,1991-07-02,R,Sony Pictures,153,100000000,203464105,311955722,515419827,8.5,21417274,0
197,Batman Forever,Action,1995-06-16,PG-13,Warner Bros,121,100000000,184031112,152498032,336529144,5.4,19371696,0
198,Planet of the Apes,Adventure,2001-07-27,PG-13,20th Century Fox,119,100000000,180011740,182200000,362211740,5.7,18948604,0
199,National Treasure,Adventure,2004-11-19,PG,Walt Disney,131,100000000,173005002,158318408,331323410,6.9,18211053,0
200,Venom,Action,2018-10-05,PG-13,Sony Pictures,109,100000000,171125095,290700000,461825095,6.6,18013168,0
201,Little Fockers,Comedy,2010-12-22,PG-13,Universal Pictures,98,100000000,148438600,162211974,310650574,5.5,15625116,0
202,True Lies,Action,1994-07-15,R,20th Century Fox,141,100000000,146282411,219017589,365300000,7.2,15398149,0
203,American Gangster,Drama,2007-11-02,R,Universal Pictures,176,100000000,130164645,137820811,267985456,7.8,13701542,0
204,Cloudy with a Chance of Meatballs,Adventure,2009-09-18,PG,Sony Pictures,90,100000000,124870275,111957402,236827677,7.0,13144239,0
205,The Other Guys,Comedy,2010-08-06,PG-13,Sony Pictures,116,100000000,119219978,51716492,170936470,6.7,12549471,0
206,Epic,Adventure,2013-05-24,PG,20th Century Fox,102,100000000,107518682,155275759,262794441,6.7,11317756,0
207,Eraser,Action,1996-06-21,R,Warner Bros,115,100000000,101295562,133104438,234400000,6.1,10662691,0
208,The Hunchback of Notre Dame,Adventure,1996-06-21,G,Walt Disney,91,100000000,100138851,225361149,325500000,6.9,10540932,0
209,The Emperor's New Groove,Adventure,2000-12-15,G,Walt Disney,78,100000000,89296573,80000000,169296573,7.3,9399639,0
210,The Expendables 2,Action,2012-08-17,R,Lionsgate,103,100000000,85028192,226951064,311979256,6.7,8950336,0
211,Where the Wild Things Are,Adventure,2009-10-16,PG,Warner Bros,101,100000000,77233467,21890189,99123656,6.8,8129839,0
212,Eragon,Adventure,2006-12-15,PG,20th Century Fox,104,100000000,75030163,174457952,249488115,5.1,7897912,0
213,Hercules,Action,2014-07-25,PG-13,Paramount,101,100000000,72688614,170700000,243388614,6.0,7651433,0
214,End of Days,Action,1999-11-24,R,Universal Pictures,121,100000000,66889043,145137932,212026975,5.7,7040952,0
215,The Stepford Wives,Comedy,2004-06-11,PG-13,Paramount,93,100000000,59475623,36746348,96221971,5.2,6260592,0
216,Surf's Up,Adventure,2007-06-08,PG,Sony Pictures,85,100000000,58867694,86528051,145395745,6.8,6196599,0
217,Blood Diamond,Action,2006-12-08,R,Warner Bros,143,100000000,57377916,114000000,171377916,8.0,6039781,0
218,Starship Troopers,Action,1997-11-07,R,Sony Pictures,129,100000000,54768952,66331048,121100000,7.2,5765153,0
219,Land of the Lost,Comedy,2009-06-05,PG-13,Universal Pictures,102,100000000,49438370,20110271,69548641,5.4,5204039,0
220,Catwoman,Action,2004-07-23,PG-13,Warner Bros,87,100000000,40202379,41943000,82145379,3.3,4231829,0
221,The Expendables 3,Action,2014-08-15,PG-13,Lionsgate,131,100000000,39322544,170138834,209461378,6.1,4139215,0
222,Treasure Planet,Adventure,2002-11-27,PG,Walt Disney,95,100000000,38120554,53679446,91800000,7.1,4012690,0
223,Green Zone,Drama,2010-03-12,R,Universal Pictures,115,100000000,35497337,62025683,97523020,6.9,3736562,0
224,Geostorm,Action,2017-10-20,PG-13,Warner Bros,109,100000000,33700160,187100000,220800160,,3547385,0
225,In the Heart of the Sea,Adventure,2015-12-11,PG-13,Warner Bros,122,100000000,25020758,64672551,89693309,7.0,2633764,0
226,Son of the Mask,Adventure,2005-02-18,PG,New Line,94,100000000,17018422,42900000,59918422,2.2,1791413,0
227,The Adventures of Pluto Nash,Comedy,2002-08-16,PG-13,Warner Bros,95,100000000,4411102,2683893,7094995,3.8,464327,0
228,Jin líng shí san chai,Drama,2012-01-20,R,Wrekin Hill Enterta…,114,100000000,311434,97915583,98227017,,32783,0
229,Wonder Park,Adventure,2019-03-15,PG,Paramount,97,100000000,0,0,0,,0,0
