studio,avg_budget,total_budget,avg_gross,total_gross,avg_rating,movie_count
Empire Pictures,4000000.0,4000000,354704.0,354704,5.9,1
Entertainment One,24625000.0,98500000,27508107.0,110032428,6.38,4
Eros Entertainment,400000.0,400000,655538.0,655538,7.7,1
EuropaCorp,20000000.0,40000000,38713223.5,77426447,5.1,2
Excel Entertainment,3306000.0,16530000,2569133.8,12845669,6.82,5
Exclusive Releasing,10000000.0,10000000,1616353.0,1616353,,1
Fabrication Films,475000.0,950000,650939.5,1301879,6.05,2
Film Arcade,3000000.0,3000000,4417983.0,4417983,,1
Film Forum,747000.0,747000,44566.0,44566,,1
Film Foundry,13000000.0,26000000,3066403.0,6132806,7.05,2
FilmDistrict,15035714.29,105250000,58393285.86,408753001,6.35,7
Fine Line,6651000.0,79812000,12722133.42,152665601,7.17,12
First Look,11000000.0,33000000,2625889.67,7877669,5.6,3
Five & Two Pictures,941666.67,2825000,2749260.67,8247782,6.2,3
Focus Features,20619444.44,1113450000,54931055.28,2966276985,6.97,54
Focus World,10000000.0,10000000,150191.0,150191,7.8,1
Focus/Rogue Pictures,21490000.0,107450000,28874217.4,144371087,6.4,5
Fox Searchlight,10711358.02,867620000,43703243.17,3539962697,6.9,81
Freestyle Releasing,8504761.9,178600000,7075518.81,148585895,5.79,21
GKIDS,500000.0,500000,271893.0,271893,,1
Gold Circle Films,4000000.0,4000000,563711.0,563711,7.0,1
Goldwyn Entertainment,6825000.0,27300000,7772382.25,31089529,6.87,4
Good Deed Entertain…,2000000.0,2000000,35312.0,35312,8.2,1
Gramercy,13122222.22,118100000,31194267.22,280748405,7.4,9
Gunpowder & Sky,2000000.0,2000000,2420962.0,2420962,,1
Halestone,500000.0,500000,1111615.0,1111615,6.0,1
Halestorm Entertain…,500000.0,500000,1250798.0,1250798,6.4,1
Hammond Entertainment,9000000.0,9000000,2000093.0,2000093,,1
Hannover House,4500000.0,4500000,0.0,0,,1
Hemdale,4500000.0,4500000,1500000.0,1500000,7.5,1
High Top Releasing,1812500.0,7250000,7517026.0,30068104,5.4,4
Hombre de Oro,3500000.0,3500000,886410.0,886410,6.8,1
Hyde Park Films,8300000.0,8300000,1353296.0,1353296,6.4,1
IDP Distribution,12500000.0,12500000,69826708.0,69826708,,1
IDP/Goldwyn/Roadside,3166666.67,9500000,3774514.0,11323542,6.73,3
IFC Films,9403821.3,216287890,8018520.65,184425975,6.48,23
IFC Midnight,1200000.0,1200000,0.0,0,3.8,1
Illuminare,300000.0,300000,87264.0,87264,,1
Image Entertainment,5900000.0,17700000,78304.33,234913,6.17,3
Imaginasian,1300000.0,1300000,635305.0,635305,7.4,1
Independent,5816170.21,273360000,7131671.51,335188561,6.38,47
Independent Artists,4000000.0,4000000,2793776.0,2793776,5.8,1
Indican Pictures,3700000.0,7400000,221649.5,443299,6.85,2
Industrial House Films,2100000.0,2100000,3330.0,3330,7.2,1
InterStar Releasing,7000000.0,7000000,5430822.0,5430822,6.2,1
Invincible Pictures,5000000.0,5000000,2199.0,2199,4.8,1
Kino International,9500000.0,28500000,8747164.33,26241493,8.3,3
Kino Lorber,750000.0,750000,89609.0,89609,,1
LD Distribution,10000000.0,10000000,8890094.0,8890094,6.1,1
Lionsgate,25958141.89,3841805000,65229695.64,9653994954,6.08,148
Lionsgate Premiere,8000000.0,8000000,0.0,0,4.2,1
Lionsgate/Roadside …,1000000.0,1000000,5797192.0,5797192,6.8,1
Lorimar Motion Pict…,6600000.0,13200000,14731462.0,29462924,5.2,2
M Power Releasing,10000000.0,10000000,11924041.0,11924041,7.0,1
MGM,24477685.95,2961800000,64184879.55,7766370425,6.43,121
MGM/UA Classics,9000000.0,9000000,13075390.0,13075390,5.7,1
Magnet Pictures,2333333.33,7000000,3856673.33,11570020,5.85,3
Magnolia Pictures,9290294.12,315870000,11740515.56,399177529,6.45,34
Matson,2000000.0,2000000,2226603.0,2226603,7.4,1
Miramax,17647413.69,1817683610,48356185.65,4980687122,6.7,103
Miramax/Dimension,30573333.33,458600000,92928517.33,1393927760,5.77,15
Momentum Pictures,15000000.0,15000000,214182.0,214182,,1
Mongrel Media,1100000.0,1100000,56491.0,56491,6.1,1
Monterey Media,2600000.0,13000000,97472.0,487360,6.34,5
Morocco Junction Pi…,2000000.0,2000000,0.0,0,6.1,1
Moviestore Entertai…,1100000.0,1100000,1355728.0,1355728,,1
Music Box Films,3666666.67,11000000,8189715.0,24569145,7.4,3
NeoClassics Films,11400000.0,11400000,29830239.0,29830239,5.8,1
Neon,9450000.0,18900000,131015361.5,262030723,8.5,2
New Century Vista F…,4700000.0,4700000,1705139.0,1705139,6.7,1
New Films Cinema,3000000.0,3000000,1022453.0,1022453,4.1,1
New Line,28734951.46,2959700000,88345365.89,9099572687,6.47,103
New World,1762500.0,7050000,8371513.0,33486052,5.7,4
New Yorker,10000000.0,10000000,5045359.0,5045359,,1
Newmarket Films,14977777.78,134800000,102016679.78,918150118,7.54,9
OTL Releasing,1000000.0,1000000,9620953.0,9620953,,1
October Films,6185714.29,43300000,8351458.43,58460209,6.57,7
Off-Hollywood Distr…,2000000.0,2000000,0.0,0,4.6,1
Omin/Freestyle,20000000.0,20000000,6093725.0,6093725,5.1,1
Open Road,23900000.0,549700000,34259854.39,787976651,5.92,23
Orion Classics,850000.0,1700000,374870.5,749741,7.05,2
Orion Pictures,12912500.0,206600000,37736116.94,603777871,6.68,16
Oscilloscope Pictures,3400000.0,17000000,3808724.0,19043620,7.08,5
Outrider Pictures,1000000.0,1000000,0.0,0,6.2,1
Overture Films,18600000.0,93000000,16529332.4,82646662,6.22,5
PMK*BNC,930000.0,930000,30905.0,30905,5.7,1
Paladin,8000000.0,16000000,113589.5,227179,6.7,2
Palm Pictures,8000000.0,8000000,0.0,0,,1
Paramount,48969888.48,13172900000,153673061.5,41338053543,6.51,269
Paramount Vantage,17290909.09,380400000,30365836.68,668048407,6.79,22
Peace Film LLC,1500000.0,1500000,372239.0,372239,6.7,1
Persona Films,4200000.0,4200000,313230.0,313230,6.2,1
Phase 4 Films,4375000.0,17500000,494112.0,1976448,5.62,4
Picturehouse,11530000.0,115300000,41401274.9,414012749,6.37,10
Polygram,41333333.33,124000000,45562448.67,136687346,5.2,3
Priority Films,3000000.0,3000000,163069.0,163069,,1
Providence Entertai…,7200000.0,7200000,12678312.0,12678312,3.5,1
Pure Flix Entertain…,4590000.0,22950000,23626256.4,118131282,4.65,5
Quaker Media,7000000.0,7000000,1891936.0,1891936,6.5,1
RADiUS-TWC,11666666.67,35000000,11584481.67,34753445,6.7,3
RKO Radio Pictures,2429000.0,4858000,177700000.0,355400000,7.4,2
RS Entertainment,35000000.0,35000000,32736879.0,32736879,8.6,1
Radius,1875000.0,3750000,1222229.5,2444459,5.6,2
Regent Releasing,2000000.0,4000000,48044.0,96088,4.1,2
Relativity,24395000.0,487900000,53801440.9,1076028818,6.04,20
Revolver Entertainment,1000000.0,1000000,26822.0,26822,6.9,1
Roadside Attractions,9717241.38,281800000,13328475.34,386525785,6.47,29
Rocky Mountain Pict…,7700000.0,38500000,3056366.4,15281832,5.32,5
Romar,13000000.0,26000000,1804560.0,3609120,2.4,2
Rosebud Releasing,3500000.0,3500000,5923044.0,5923044,7.8,1
Roxie Releasing,2000000.0,4000000,860600.0,1721200,6.9,2
STX Entertainment,28545454.55,314000000,79105733.64,870163070,6.47,11
Saban Films,21083333.33,63250000,2251080.67,6753242,5.2,3
Samuel Goldwyn Films,7731250.0,123700000,6223258.06,99572129,6.56,16
Savoy,13666666.67,41000000,15169427.0,45508281,6.73,3
Screen Media Films,18433333.33,55300000,4559361.0,13678083,5.75,3
Slowhand Cinema,7550000.0,15100000,2001307.5,4002615,6.15,2
Smith Global Media,3500000.0,3500000,890303.0,890303,,1
Smodshow Productions,4000000.0,4000000,1983596.0,1983596,6.2,1
Sony Pictures,42994736.84,14704200000,119922241.99,41013406761,6.29,342
Sony Pictures Classics,9403092.78,912100000,20454685.32,1984104476,7.09,97
Sony/TriStar,37888888.89,341000000,109043220.33,981388983,6.61,9
Strand,5420000.0,27100000,83037.6,415188,5.66,5
Summit Entertainment,30850000.0,555300000,117420491.56,2113568848,6.05,18
Sundance Selects,9000000.0,9000000,7704357.0,7704357,,1
Swipe Films,1200000.0,1200000,0.0,0,6.1,1
TLA Releasing,1425000.0,2850000,435534.5,871069,7.2,2
Ten Furlongs,10000000.0,10000000,1069454.0,1069454,,1
The Bubble Factory,3000000.0,3000000,331000.0,331000,5.0,1
The Orchard,2500000.0,2500000,23845533.0,23845533,,1
ThinkFilm,7286363.64,80150000,1795333.36,19748667,6.42,11
Third Rail,20666666.67,62000000,1851353.0,5554059,6.83,3
TriBeca Films,1500000.0,3000000,1654098.0,3308196,6.2,2
Trimark,4625000.0,37000000,4753837.62,38030701,5.57,8
Triumph Releasing,7000000.0,7000000,4372561.0,4372561,7.4,1
USA Films,22550000.0,90200000,82451948.25,329807793,7.35,4
UTV Communications,10000000.0,10000000,1642939.0,1642939,5.4,1
United Artists,12491578.95,237340000,58971113.53,1120451157,7.02,19
United Film Distrib…,8310000.0,41550000,16744072.2,83720361,6.9,5
Universal Pictures,47667769.23,14872344000,170305063.03,53135179664,6.48,312
Variance Films,15750000.0,31500000,4388929.5,8777859,5.8,2
Vertical Entertainment,20000000.0,40000000,3368849.5,6737699,,2
Vitagraph Films,7400000.0,22200000,6054763.67,18164291,6.6,3
Viva Entertainment,8250000.0,16500000,2976110.5,5952221,,2
Vivendi Entertainment,11500000.0,23000000,5129817.5,10259635,5.3,2
Walt Disney,65644445.81,17264489247,258836857.85,68074093615,6.56,263
Warner Bros,53552555.56,20724839000,158888609.31,61489891803,6.53,387
Warner Independent,10822222.22,97400000,15949195.78,143542762,7.16,9
Weinstein Co.,20743382.35,1410550000,68369913.32,4649154106,6.76,68
Weinstein/Dimension,30700000.0,337700000,55588504.0,611473544,5.71,11
Well Go USA,36000000.0,36000000,157300954.0,157300954,,1
WinStar Cinema,11900000.0,11900000,48856.0,48856,7.5,1
Wrekin Hill Enterta…,37566666.67,112700000,61553761.0,184661283,7.75,3
XLrator Media,5000000.0,5000000,927074.0,927074,,1
Yari Film Group Rel…,14750000.0,29500000,43526308.5,87052617,7.2,2
Yash Raj Films,1500000.0,1500000,98806.0,98806,,1
Zeitgeist,6500000.0,6500000,6173485.0,6173485,7.7,1
